Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
6/2/2020,Greenlight Card,,Microsoft Corporation,,Childcare:Furnishings,,c,-1.99
6/3/2020,Greenlight Card,,Google,YouTube videos,Childcare:Leisure,,c,-1.99
6/6/2020,Greenlight Card,,Apple,,Childcare:Leisure,,c,-10.99
6/6/2020,Greenlight Card,,Apple,,Childcare:Leisure,,c,-0.99
6/7/2020,Greenlight Card,,Spotify,,Childcare:Leisure,,c,-9.99
6/12/2020,Greenlight Card,,Apple,,Childcare:Leisure,,c,-9.99
6/12/2020,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
6/14/2020,Greenlight Card,,Jamba Juice,,Childcare:Leisure,,c,-7.89
6/15/2020,Greenlight Card,,CVS,,Childcare:Furnishings,,c,-6.27
6/20/2020,Greenlight Card,,HouseOfIntuition,,Childcare:Leisure,,c,-39.22
6/27/2020,Greenlight Card,,Sprouts,,Childcare:Furnishings,,c,-11.41
6/30/2020,Greenlight Card,,Transfer Money,,[inflow account],,,75
