Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
6/3/2018,Greenlight Card,,Transfer Money,,[inflow account],,c,50.00
6/9/2018,Greenlight Card,,Spotify,,Childcare:Leisure,,c,-9.99
6/11/2018,Greenlight Card,,Apple,ITUNES,Childcare:Leisure,,c,-7.98
6/12/2018,Greenlight Card,,Transfer Money,,[inflow account],,c,50.00
6/12/2018,Greenlight Card,,Greenlight,,Childcare:Furnishings,,c,-4.99
6/15/2018,Greenlight Card,,IN-N-OUT BURGER,,Childcare:Furnishings,,c,-6.82
6/16/2018,Greenlight Card,,Sephora,,Childcare:Furnishings,,c,-11.00
