Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
7/1/2019,Greenlight Card,,Transfer Money,,[inflow account],,c,50.00
7/1/2019,Greenlight Card,,Apple,ITUNES,Childcare:Leisure,,c,-19.99
7/3/2019,Greenlight Card,,Spotify,,Childcare:Leisure,,c,-9.99
7/7/2019,Greenlight Card,,Apple,ITUNES,Childcare:Leisure,,c,-5.99
7/12/2019,Greenlight Card,,Star Mini Mart,,Childcare:Furnishings,,c,-4.04
7/12/2019,Greenlight Card,,Greenlight,,Childcare:Furnishings,,c,-4.99
7/20/2019,Greenlight Card,,CVS,,Childcare:Leisure,,c,-2.62
