Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
2/2/2020,Greenlight Card,,Microsoft Corporation,,Childcare:Furnishings,,c,-1.99
2/3/2020,Greenlight Card,,Apple,,Childcare:Leisure,,c,-5.99
2/6/2020,Greenlight Card,,Apple,,Childcare:Leisure,,c,-0.99
2/7/2020,Greenlight Card,,Apple,,Childcare:Leisure,,c,-15.99
2/12/2020,Greenlight Card,,GrubHub,,Childcare:Furnishings,,c,-18.40
2/12/2020,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
2/15/2020,Greenlight Card,,Microsoft Corporation,,Childcare:Leisure,,c,-1.99
2/17/2020,Greenlight Card,,Microsoft Corporation,,Childcare:Leisure,,c,-1.99
2/20/2020,Greenlight Card,,Transfer Money,,[inflow account],,,50.00
