Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
8/2/2020,Greenlight Card,,Microsoft Corporation,,Childcare:Furnishings,,c,-1.99
8/2/2020,Greenlight Card,,Spotify,,Childcare:Leisure,,c,-9.99
8/3/2020,Greenlight Card,,Starbucks,,Childcare:Furnishings,,c,-5.45
8/6/2020,Greenlight Card,,Apple,,Childcare:Leisure,,c,-0.99
8/6/2020,Greenlight Card,,82 EC,what is this?,Childcare:Furnishings,,c,-9.71
8/9/2020,Greenlight Card,,Thrift Books,,Childcare:Furnishings,,c,-9.26
8/10/2020,Greenlight Card,,Checkli,,Childcare:Furnishings,,c,-7
8/11/2020,Greenlight Card,,Staples,,Childcare:Furnishings,,c,-9.26
8/12/2020,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
8/13/2020,Greenlight Card,,Amazon.com,,Childcare:Leisure,,c,-10.99
