Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
1/1/2018,Greenlight Card,,Target,,Childcare:Furnishings,,c,-11.44
1/3/2018,Greenlight Card,,Transfer Money,,[inflow account],,c,50.00
1/3/2018,Greenlight Card,,Forever 21,,Childcare:Leisure,,,-0.19
1/4/2018,Greenlight Card,,Ali Express,,Childcare:Furnishings,,,-1.57
1/8/2018,Greenlight Card,,SpinFish Po,,Childcare:Furnishings,,,-10.37
1/9/2018,Greenlight Card,,Signature Burger,,Childcare:Furnishings,,,-6.01
1/10/2018,Greenlight Card,,Chipotle,,Childcare:Furnishings,,,-7.37
1/12/2018,Greenlight Card,,Rainbow Acres,,Childcare:Leisure,,,-4.04
1/12/2018,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
1/14/2018,Greenlight Card,,Trader Joes,,Childcare:Furnishings,,,-6.03
1/15/2018,Greenlight Card,,Transfer Money,,[inflow account],,,50.00
1/15/2018,Greenlight Card,,Amazon.com,,Childcare:Furnishings,,,-9.57
1/15/2018,Greenlight Card,,Amazon.com,,Childcare:Furnishings,,,-4.95
1/16/2018,Greenlight Card,,McDonald's,,Childcare:Furnishings,,,-4.80
1/18/2018,Greenlight Card,,Bobs Food Market,,Childcare:Furnishings,,,-2.49
1/19/2018,Greenlight Card,,Trader Joes,,Childcare:Furnishings,,,-3.79
1/22/2018,Greenlight Card,,Govindas,,Childcare:Furnishings,,,-8.35
1/23/2018,Greenlight Card,,Trader Joes,,Childcare:Furnishings,,,-3.99
1/24/2018,Greenlight Card,,Star Mini Mart,,Childcare:Furnishings,,,-6.27
1/25/2018,Greenlight Card,,Taco Bell,,Childcare:Furnishings,,,-3.71
1/31/2018,Greenlight Card,,Transfer Money,,[inflow account],,,50.00
