Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
3/1/2018,Greenlight Card,,Dylan's Candy Bar-12,,Childcare:Furnishings,,,-1.99
3/1/2018,Greenlight Card,,The Salad Bar,,Childcare:Furnishings,,,-5.75
3/3/2018,Greenlight Card,,Transfer Money,,[inflow account],,c,50.00
3/7/2018,Greenlight Card,,Govindas,,Childcare:Furnishings,,c,-3.15
3/9/2018,Greenlight Card,,CVS,,,,c,-8.65
3/12/2018,Greenlight Card,,Greenlight,,Childcare:Furnishings,,c,-4.99
3/19/2018,Greenlight Card,,Star Mini Mart,,Childcare:Furnishings,,c,-2.10
3/19/2018,Greenlight Card,,Govindas,,Childcare:Furnishings,,c,-5.85
3/22/2018,Greenlight Card,,Transfer Money,,[inflow account],,c,50.00
3/27/2018,Greenlight Card,,Buffalo Wild Wings,,Childcare:Furnishings,,c,-7.65
3/28/2018,Greenlight Card,,ArcLight,,Childcare:Leisure,,c,-12.00
3/28/2018,Greenlight Card,,Metro Downtown Santa Monica,,Childcare:Furnishings,,c,-3.50
3/31/2018,Greenlight Card,,Spotify,,Childcare:Leisure,,c,-9.99
