Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
10/1/2019,Greenlight Card,,Transfer Money,,[inflow account],,,150.00
10/2/2019,Greenlight Card,,Apple,,Childcare:Leisure,,c,-10.97
10/3/2019,Greenlight Card,,Barnes & Nobles,,Childcare:Furnishings,,c,-21.85
10/3/2019,Greenlight Card,,Apple,,Childcare:Leisure,,c,-5.99
10/12/2019,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
10/14/2019,Greenlight Card,,Apple,,Childcare:Leisure,,c,-0.99
10/18/2019,Greenlight Card,,Campos Tacos,,Childcare:Furnishings,,c,-12.59
