Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
12/2/2019,Greenlight Card,,Michaels,,Childcare:Furnishings,,c,-15.68
12/3/2019,Greenlight Card,,Apple,,Childcare:Furnishings,,c,-60.98
12/9/2019,Greenlight Card,,Apple,,Childcare:Leisure,,c,-0.99
12/9/2019,Greenlight Card,,Apple,,Other Income:Reversal of Charges,,,54.99
12/11/2019,Greenlight Card,,Undergrind Cafe,,Childcare:Furnishings,,c,-7.00
12/11/2019,Greenlight Card,,GrubHub,,Childcare:Furnishings,,c,-14.00
12/12/2019,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
12/13/2019,Greenlight Card,,Tro Fresh Mexican Grill,,Childcare:Furnishings,,c,-11.49
12/19/2019,Greenlight Card,,Star Mini Mart,,Childcare:Furnishings,,c,-5.46
12/19/2019,Greenlight Card,,Govindas,,Childcare:Furnishings,,c,-8.75
12/20/2019,Greenlight Card,,Transfer Money,,[inflow account],,,50.00
12/22/2019,Greenlight Card,,"Cinemark 10, Los Angeles",,Childcare:Leisure,,c,-6.00
12/23/2019,Greenlight Card,,Apple,,Childcare:Leisure,,c,-9.99
12/24/2019,Greenlight Card,,Google,YouTube videos,Childcare:Leisure,,c,-2.99
