Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
9/4/2018,Greenlight Card,,Star Mini Mart,,Childcare:Furnishings,,c,-8.55
9/5/2018,Greenlight Card,,Star Mini Mart,,Childcare:Furnishings,,c,-7.07
9/12/2018,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
9/13/2018,Greenlight Card,,Transfer Money,,[inflow account],,c,50.00
9/20/2018,Greenlight Card,,India Sweets & Spices,,Childcare:Furnishings,,c,-7.89
9/21/2018,Greenlight Card,,Transfer Money,,[inflow account],,c,50.00
9/21/2018,Greenlight Card,,Apple,ITUNES,Childcare:Leisure,,c,-5.99
9/25/2018,Greenlight Card,,Govindas,,Childcare:Furnishings,,c,-4.05
9/28/2018,Greenlight Card,,Idyllwild Camp,,Other Income:Reversal of Charges,,c,25.00
9/30/2018,Greenlight Card,,India Sweets & Spices,,Childcare:Furnishings,,c,-2.73
9/30/2018,Greenlight Card,,India Sweets & Spices,,Childcare:Furnishings,,c,-22.50
9/30/2018,Greenlight Card,,Spotify,,Childcare:Leisure,,c,-9.99
