Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
2/1/2019,Greenlight Card (KAW),,Apple,ITUNES,Childcare:Leisure,,c,-5.99
2/3/2019,Greenlight Card (KAW),,Spotify,,Childcare:Leisure,,c,-9.99
2/12/2019,Greenlight Card (KAW),,Transfer Money,,[Schwab High Yield Checking (3810)],,c,50.00
2/12/2019,Greenlight Card (KAW),,Greenlight,,Childcare:Furnishings,,c,-4.99
2/15/2019,Greenlight Card (KAW),,Mod Pizza,,Childcare:Furnishings,,c,-11.76
2/21/2019,Greenlight Card (KAW),,Apple,ITUNES,Childcare:Leisure,,c,-15.97
