Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
1/2/2020,Greenlight Card,,Microsoft Corporation,,Childcare:Furnishings,,c,-1.99
1/6/2020,Greenlight Card,,Apple,,Childcare:Leisure,,c,-5.99
1/6/2020,Greenlight Card,,Apple,,Childcare:Leisure,,c,-0.99
1/6/2020,Greenlight Card,,Cinemark Theatres,,Childcare:Leisure,,c,-8.10
1/12/2020,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
1/15/2020,Greenlight Card,,Transfer Money,,[inflow account],,,50.00
1/21/2020,Greenlight Card,,GrubHub,,Childcare:Furnishings,,c,-16.00
