Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
9/1/2020,Greenlight Card,,Amazon.com,,Childcare:Leisure,,c,-16
9/1/2020,Greenlight Card,,Microsoft Corporation,,Childcare:Furnishings,,c,-1.99
9/2/2020,Greenlight Card,,Barnes & Noble,,Childcare:Furnishings,,c,-31.46
9/3/2020,Greenlight Card,,Spotify,,Childcare:Leisure,,c,-9.99
9/6/2020,Greenlight Card,,Apple,,Childcare:Leisure,,c,-0.99
9/12/2020,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
9/23/2020,Greenlight Card,,Transfer Money,,[inflow account],,,150
Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
10/1/2020,Greenlight Card,,Spotify,,Childcare:Leisure,,,-9.99
10/2/2020,Greenlight Card,,Microsoft Corporation,,Childcare:Furnishings,,,-1.99
10/2/2020,Greenlight Card,,Thrift Books Global,,Childcare:Furnishings,,,-16.07
10/3/2020,Greenlight Card,,Transfer Money,,[inflow account],,,150
10/6/2020,Greenlight Card,,Apple,,Childcare:Leisure,,,-0.99
10/10/2020,Greenlight Card,,Enneagram Institute,,Childcare:Furnishings,,,-12
10/12/2020,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
10/15/2020,Greenlight Card,,Sprouts,,Childcare:Furnishings,,,-13
10/17/2020,Greenlight Card,,Google,YouTube videos,Childcare:Leisure,,,-3.99
10/30/2020,Greenlight Card,,US Donuts,,Childcare:Furnishings,,,-2.1
10/31/2020,Greenlight Card,,Star Mini Mart,,Childcare:Furnishings,,,-2.69
Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
11/2/2020,Greenlight Card,,Microsoft Corporation,OneDrive,Childcare:Furnishings,,,-1.99
11/3/2020,Greenlight Card,,Spotify,,Childcare:Leisure,,,-9.99
11/6/2020,Greenlight Card,,Apple,,Childcare:Leisure,,,-0.99
11/12/2020,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
11/15/2020,Greenlight Card,,Sprouts,,Childcare:Furnishings,,,-9.49
11/17/2020,Greenlight Card,,Emily Grill,,Childcare:Furnishings,,,-12.04
11/19/2020,Greenlight Card,,Robeks,,Childcare:Furnishings,,,-7.79
11/19/2020,Greenlight Card,,CVS,,Childcare:Furnishings,,,-20.25
11/20/2020,Greenlight Card,,Apple,,Childcare:Furnishings,,,-4.99
11/27/2020,Greenlight Card,,Transfer Money,,[inflow account],,,125
11/28/2020,Greenlight Card,,Best Buy,,Childcare:Furnishings,,,-66.14
11/30/2020,Greenlight Card,,Google,YouTube videos,Childcare:Leisure,,,-4.99
11/30/2020,Greenlight Card,,Spotify,,Childcare:Leisure,,,-9.99
Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
12/2/2020,Greenlight Card,,Microsoft Corporation,OneDrive,Childcare:Furnishings,,,-1.99
12/2/2020,Greenlight Card,,GrubHub,,Childcare:Furnishings,,,-28.6
12/5/2020,Greenlight Card,,Thrift Books Global,,Childcare:Furnishings,,,-12.47
12/6/2020,Greenlight Card,,Apple,,Childcare:Leisure,,,-0.99
12/12/2020,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
12/13/2020,Greenlight Card,,Transfer Money,,[inflow account],,,2.04
12/15/2020,Greenlight Card,,24Shatsu,,Childcare:Furnishings,,,-42.87
12/20/2020,Greenlight Card,,Apple,,Childcare:Furnishings,,,-4.99
12/24/2020,Greenlight Card,,Transfer Money,,[inflow account],,,150
Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
1/2/2021,Greenlight Card,,Microsoft Corporation,OneDrive,Childcare:Furnishings,,,-1.99
1/2/2021,Greenlight Card,,Google,YouTube videos,Childcare:Leisure,,,-19.99
1/3/2021,Greenlight Card,,Spotify,,Childcare:Leisure,,,-9.99
1/6/2021,Greenlight Card,,Apple,,Childcare:Leisure,,,-0.99
