Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
10/3/2018,Greenlight Card,,National/Robertson Car,,Childcare:Furnishings,,c,-3.08
10/5/2018,Greenlight Card,,Ulta,,Childcare:Furnishings,,c,-19.21
10/5/2018,Greenlight Card,,Govindas,,Childcare:Furnishings,,c,-6.30
10/7/2018,Greenlight Card,,Transfer Money,,[inflow account],,c,50.00
10/9/2018,Greenlight Card,,Govindas,,Childcare:Leisure,,c,-3.15
10/12/2018,Greenlight Card,,National/Robertson Car,,Childcare:Furnishings,,c,-2.88
10/12/2018,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
10/16/2018,Greenlight Card,,Google *YouTube,,Childcare:Leisure,,c,-6.99
10/18/2018,Greenlight Card,,National/Robertson Car,,Childcare:Furnishings,,c,-5.67
10/21/2018,Greenlight Card,,Apple,ITUNES,Childcare:Leisure,,c,-5.99
