Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
11/1/2019,Greenlight Card,,Transfer Money,,[inflow account],,,50.00
11/6/2019,Greenlight Card,,Apple,,Childcare:Leisure,,c,-0.99
11/6/2019,Greenlight Card,,Apple,,Childcare:Leisure,,c,-5.99
11/9/2019,Greenlight Card,,Chick-fil-a,,Childcare:Furnishings,,c,-9.03
11/12/2019,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
11/15/2019,Greenlight Card,,Google,YouTube,Childcare:Leisure,,c,-1.99
11/15/2019,Greenlight Card,,Google,YouTube,Childcare:Leisure,,c,-3.99
11/15/2019,Greenlight Card,,Google,YouTube,Childcare:Leisure,,c,-1.99
11/16/2019,Greenlight Card,,Google,YouTube,Childcare:Leisure,,c,-1.99
11/16/2019,Greenlight Card,,Google,YouTube,Childcare:Leisure,,c,-1.99
11/23/2019,Greenlight Card,,Apple,,Childcare:Leisure,,c,-9.99
11/27/2019,Greenlight Card,,Microsoft Corporation,OneDrive?,Childcare:Furnishings,,c,-1.99
11/28/2019,Greenlight Card,,Transfer Money,K's disrespectful black elves,[inflow account],,,75.00
11/29/2019,Greenlight Card,,PayPal (alyssapezzu),,Childcare:Leisure,,c,-16.75
11/30/2019,Greenlight Card,,PayPal (lilith45bp),,Childcare:Leisure,,c,-17.00
