Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
8/13/2017,Greenlight Card,,Opening Balance,,[Greenlight Card],,c,0.00
8/13/2017,Greenlight Card,,Transfer Money,,[inflow account],,c,100.00
8/13/2017,Greenlight Card,,Transfer Money,,[inflow account],,c,50.00
8/24/2017,Greenlight Card,,Shein.com,London GBR,Childcare:Furnishings,,c,-12.00
8/29/2017,Greenlight Card,,Geeker.com,,Childcare:Furnishings,,c,-0.01
8/29/2017,Greenlight Card,,Geeker.com,,Childcare:Furnishings,,c,-7.95
8/29/2017,Greenlight Card,,Geeker.com,,Childcare:Furnishings,,c,-1.00
