Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
11/2/2020,Greenlight Card,,Microsoft Corporation,OneDrive,Childcare:Furnishings,,,-1.99
11/3/2020,Greenlight Card,,Spotify,,Childcare:Leisure,,,-9.99
11/6/2020,Greenlight Card,,Apple,,Childcare:Leisure,,,-0.99
11/12/2020,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
11/15/2020,Greenlight Card,,Sprouts,,Childcare:Furnishings,,,-9.49
11/17/2020,Greenlight Card,,Emily Grill,,Childcare:Furnishings,,,-12.04
11/19/2020,Greenlight Card,,Robeks,,Childcare:Furnishings,,,-7.79
11/19/2020,Greenlight Card,,CVS,,Childcare:Furnishings,,,-20.25
11/20/2020,Greenlight Card,,Apple,,Childcare:Furnishings,,,-4.99
11/27/2020,Greenlight Card,,Transfer Money,,[inflow account],,,125
11/28/2020,Greenlight Card,,Best Buy,,Childcare:Furnishings,,,-66.14
11/30/2020,Greenlight Card,,Google,YouTube videos,Childcare:Leisure,,,-4.99
11/30/2020,Greenlight Card,,Spotify,,Childcare:Leisure,,,-9.99
