Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
8/2/2018,Greenlight Card,,Apple,ITUNES,Childcare:Leisure,,c,-5.99
8/2/2018,Greenlight Card,,Spotify,,Childcare:Leisure,,c,-9.99
8/9/2018,Greenlight Card,,Transfer Money,,[inflow account],,c,50.00
8/12/2018,Greenlight Card,,Rite Aid,,Childcare:Furnishings,,c,-7.07
8/12/2018,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
8/13/2018,Greenlight Card,,The Green Store,,Childcare:Furnishings,,c,-11.49
8/21/2018,Greenlight Card,,Apple,ITUNES,Childcare:Leisure,,c,-5.99
8/22/2018,Greenlight Card,,Govindas,,Childcare:Furnishings,,c,-7.20
8/31/2018,Greenlight Card,,Spotify,,Childcare:Leisure,,c,-9.99
