Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
4/3/2018,Greenlight Card,,Etsy,,Childcare:Furnishings,,c,-13.66
4/3/2018,Greenlight Card,,Amazon.com,,Childcare:Furnishings,,c,-10.00
4/8/2018,Greenlight Card,,Transfer Money,,[inflow account],,c,50.00
4/8/2018,Greenlight Card,,Amazon.com,,Childcare:Furnishings,,c,-7.99
4/12/2018,Greenlight Card,,Greenlight,,Childcare:Furnishings,,c,-4.99
4/21/2018,Greenlight Card,,Transfer Money,,[inflow account],,c,50.00
4/26/2018,Greenlight Card,,Sprouts,,Childcare:Furnishings,,c,-5.49
4/27/2018,Greenlight Card,,The Vegan Joint,,Childcare:Furnishings,,c,-4.33
4/30/2018,Greenlight Card,,Spotify,,Childcare:Leisure,,c,-9.99
