Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
5/2/2020,Greenlight Card,,Microsoft Corporation,,Childcare:Furnishings,,c,-1.99
5/3/2020,Greenlight Card,,Knockies,,Childcare:Furnishings,,c,-32.9
5/4/2020,Greenlight Card,,CVS,,Childcare:Furnishings,,c,-7.76
5/6/2020,Greenlight Card,,Apple,,Childcare:Leisure,,c,-0.99
5/7/2020,Greenlight Card,,Google,YouTube videos,Childcare:Leisure,,c,-1.99
5/10/2020,Greenlight Card,,Sprouts,,Childcare:Furnishings,,c,-14.58
5/12/2020,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
5/12/2020,Greenlight Card,,Apple,,Childcare:Leisure,,c,-9.99
5/12/2020,Greenlight Card,,Google,YouTube videos,Childcare:Leisure,,c,-1.99
5/12/2020,Greenlight Card,,Google,YouTube videos,Childcare:Leisure,,c,-1.99
5/15/2020,Greenlight Card,,Google,YouTube videos,Childcare:Leisure,,c,-1.99
5/25/2020,Greenlight Card,,Google,YouTube videos,Childcare:Leisure,,c,-1.99
5/26/2020,Greenlight Card,,Transfer Money,,[inflow account],,,50
5/30/2020,Greenlight Card,,Google,YouTube videos,Childcare:Leisure,,c,-1.99
