Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
2/1/2018,Greenlight Card,,Ulta,,Childcare:Furnishings,,,-10.06
2/3/2018,Greenlight Card,,Spotify,,Childcare:Furnishings,,,-9.99
2/11/2018,Greenlight Card,,CVS,,Childcare:Furnishings,,,-9.84
2/12/2018,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
2/15/2018,Greenlight Card,,Alices Shop,,Childcare:Furnishings,,,-12.02
2/16/2018,Greenlight Card,,Transfer Money,,[inflow account],,,50.00
2/28/2018,Greenlight Card,,Spotify,,Childcare:Furnishings,,,-9.99
2/28/2018,Greenlight Card,,Amazon.com,,Childcare:Furnishings,,,-12.95
